instnm,pct_airea_completions
Southwestern Michigan College,0.1268930336362187
Craven Community College,0.1266321243523316
Delaware Technical Community College-Terry,0.1264306909707503
Copper Mountain Community College,0.1263216471897607
Eastern Shore Community College,0.12623045744064854
MiraCosta College,0.1256671789856085
Brookhaven College,0.12561715904492107
Meridian Community College,0.12519494021833302
Mt San Antonio College,0.12511994659768869
National Park College,0.12491128459900638
Kansas City Kansas Community College,0.12481921650003144
Edison State Community College,0.1247283789656671
Citrus College,0.12457905415298376
Frontier Community College,0.1244309559939302
North Central State College,0.12425290972003776
Clark College,0.12387833201372392
Chaffey College,0.1236435198200731
Garrett College,0.1235034656584751
Northwestern Michigan College,0.12320779965589752
Ohlone College,0.12319644839067705
Laredo College,0.12288395341160938
Johnson County Community College,0.1220828661573362
Luzerne County Community College,0.12198232668306461
Sussex County Community College,0.12178702570379436
Lansing Community College,0.121272365805169
Delta College,0.12098715072404648
Wake Technical Community College,0.12097236144923385
GateWay Community College-Central City,0.12071063519104404
Central Piedmont Community College,0.1204549548390417
North Iowa Area Community College,0.12031591329188372
Aiken Technical College,0.11963684287597012
College of the Albemarle,0.11924654412881663
Williston State College,0.1191047162270184
Monroe County Community College,0.11883442100470482
James Sprunt Community College,0.11874857273350078
Mt Hood Community College,0.11871521554570325
Mountain View College,0.11831395348837208
University of Arkansas Community College Rich Mountain,0.1176631925397696
Mesa Community College,0.11760787506476204
College of Micronesia-FSM,0.11752577319587627
Wayne County Community College District,0.11584761365245716
Montgomery Community College,0.1157766990291262
Merced College,0.11551238383583531
Morgan Community College,0.11507855539685778
Mohave Community College,0.11503067484662578
Columbus State Community College,0.11492420846407995
Erie Community College,0.11485913821744584
Great Bay Community College,0.11465629053177692
Long Beach City College,0.113866885625966
Trident Technical College,0.1133096770313346
Northeast Texas Community College,0.1131233595800525
Arizona Western College,0.11290385288285835
Grand Rapids Community College,0.11288255691240766
Coalinga College,0.11287356321839082
Hudson County Community College,0.11253804468859031
Houston Community College,0.11241375377772712
Barton County Community College,0.11239639311412696
Golden West College,0.11093069306930692
North Seattle College,0.1109219486642221
Tri-County Community College,0.11022253129346314
Fresno City College,0.10970308947438812
Coastline Community College,0.10968533439437646
James A. Rhodes State College,0.10945446139620896
Wilson Community College,0.1090797041906327
Sinclair Community College,0.10884672038818126
Catawba Valley Community College,0.10853687269300244
Western Piedmont Community College,0.10839626832518882
Delaware County Community College,0.10797869741535152
Coastal Alabama Community College,0.1078070515304146
Central New Mexico Community College,0.10752741625985544
Southwestern College,0.10743858443566397
Southwest Virginia Community College,0.10736817045589812
Olney Central College,0.10710259301014656
Oregon Coast Community College,0.10691318327974277
Northampton County Area Community College,0.10688026488776356
Arkansas State University-Mountain Home,0.10687666994796796
Rochester Community and Technical College,0.10676867934932452
Pueblo Community College,0.10671429144760604
Ellsworth Community College,0.1065877128053294
University of Arkansas Community College-Batesville,0.1064225876512566
Santa Ana College,0.10605658640116106
Monroe Community College,0.10602788746298124
Las Positas College,0.1059458588462778
Patrick & Henry Community College,0.10590329279145654
El Paso Community College,0.10571680772625784
SUNY Corning Community College,0.1054527387902124
Cloud County Community College,0.10530065545739528
Stanly Community College,0.10464860101343908
Madison Area Technical College,0.10461944166590888
Bay de Noc Community College,0.10451547437848809
Neosho County Community College,0.10450722857412832
NHTI-Concord's Community College,0.10449942582733064
Harrisburg Area Community College,0.10442252417036844
Santa Fe Community College,0.10371841553569457
Glendale Community College,0.1034021871202916
Jefferson College,0.1033277870216306
Rio Hondo College,0.102685087749075
Lone Star College System,0.10249850695713408
Gateway Community College,0.10247519984590192
Monterey Peninsula College,0.10191995415034864
Estrella Mountain Community College,0.10182847525055466
Lower Columbia College,0.10172486327303323
College of the Siskiyous,0.10137931034482758
Eastern Oklahoma State College,0.1010562375107051
Massachusetts Bay Community College,0.10080183276059564
Northern Virginia Community College,0.10070460380963756
Moreno Valley College,0.10069054119158503
Southeast New Mexico College,0.10064935064935066
Southeast Arkansas College,0.10049871542995314
New Mexico State University-Dona Ana,0.1000101224820326
Delgado Community College,0.09964062423078818
CUNY LaGuardia Community College,0.099617773530817
Diablo Valley College,0.09905793422462908
Vernon College,0.09829825347066729
Brightpoint Community College,0.09795773577256374
Bossier Parish Community College,0.09791942827502738
Middlesex Community College,0.09782452096239734
Horry-Georgetown Technical College,0.09775027531595784
Essex County College,0.09744985503816342
Marion Technical College,0.09710847400969412
Itasca Community College,0.09707776126795443
Allen County Community College,0.09689269860707175
Lakeland Community College,0.09671694764862468
Seminole State College of Florida,0.09627880370212828
University of Arkansas-Pulaski Technical College,0.09554692377054866
Northeastern Oklahoma A&M College,0.09486232370718602
Pima Community College,0.09449104051685424
Metropolitan Community College-Kansas City,0.0944079355238686
Texas Southmost College,0.09433962264150944
Cascadia College,0.09404963338973492
Oakton College,0.0938577974566236
Community College of Baltimore County,0.09308042573400004
Snow College,0.0929869392390687
Henderson Community College,0.09246629659000796
Fayetteville Technical Community College,0.09241777076475229
Yavapai College,0.09180090295970124
Paul D Camp Community College,0.0908566483991924
Caldwell Community College and Technical Institute,0.09073852976292
Seattle Central College,0.09038123167155424
New Mexico State University-Grants,0.09
Leeward Community College,0.0897255714180043
Durham Technical Community College,0.08971919945209648
Navarro College,0.08945831655255738
Allegany College of Maryland,0.0892018779342723
Mendocino College,0.08788761350008567
Onondaga Community College,0.08771604938271606
Paradise Valley Community College,0.08715024059882374
Southwest Tennessee Community College,0.08611511241936494
Arapahoe Community College,0.08598626716604246
Chemeketa Community College,0.08584300673755987
West Los Angeles College,0.08582553674760696
North Central Michigan College,0.08567208271787297
Salt Lake Community College,0.08539932017338697
Gavilan College,0.08531137776999212
North Central Texas College,0.08527765549336519
Oakland Community College,0.08518157124396741
Mitchell Community College,0.08513725964445519
Tohono O'odham Community College,0.08505154639175258
Oklahoma City Community College,0.08433923812509798
Laurel Ridge Community College,0.08370116069968939
Sandhills Community College,0.08321139401034046
Ranger College,0.08310038119440914
Century College,0.0830033326798667
Lane Community College,0.08291657911325909
Montgomery College,0.08253151530743504
Potomac State College of West Virginia University,0.0825082508250825
Foothill College,0.08232194938376142
New Mexico Junior College,0.08200960472848172
Henry Ford College,0.08165603635946989
Umpqua Community College,0.08135750813575081
Florida Gateway College,0.08124308373293988
Lehigh Carbon Community College,0.08107440059322733
Northern Oklahoma College,0.08099038635951387
Colby Community College,0.08061538461538462
CUNY Queensborough Community College,0.08060133394501888
Roxbury Community College,0.08058409951325039
Lake Region State College,0.07989249938920107
Ulster County Community College,0.07983394539358135
South Mountain Community College,0.07955581337532112
Warren County Community College,0.07889851485148515
Blinn College District,0.07873175564955605
College of the Canyons,0.07868786476152143
Black River Technical College,0.07805044308111793
Fullerton College,0.07804370447450572
West Valley College,0.07744692215249033
Montcalm Community College,0.0773855702094647
Luna Community College,0.07722685388328214
Colorado Mountain College,0.07671903693123852
Pennsylvania Highlands Community College,0.07667473769168684
East Los Angeles College,0.07663909105977729
Motlow State Community College,0.0764273320664298
West Virginia Northern Community College,0.07634730538922155
SUNY Broome Community College,0.07600596125186289
Mid Michigan College,0.07540672129200807
Niagara County Community College,0.07536211601707368
Cabrillo College,0.074736051247578
Irvine Valley College,0.07363872886080654
Cuesta College,0.07342963449332457
Housatonic Community College,0.07327156094084106
Los Angeles City College,0.07278113615436967
"UCNJ Union College of Union County, NJ",0.07236874782695077
College of San Mateo,0.0720954643389868
Southern West Virginia Community and Technical College,0.0715120810600156
Community College of Denver,0.07137407227578553
Los Angeles Mission College,0.0710353227771011
Cuyahoga Community College District,0.0710090869409944
Three Rivers College,0.07030822542403793
Cleveland State Community College,0.07025040594820955
Mount Wachusett Community College,0.06989413094871004
Muskegon Community College,0.06965871902758299
Bunker Hill Community College,0.06935942282466112
Tarrant County College District,0.06928468534325213
Frederick Community College,0.06920689904019629
Southwestern Oregon Community College,0.0691509796388782
Redlands Community College,0.06902086677367576
Florida State College at Jacksonville,0.06873524163648215
City Colleges of Chicago-Malcolm X College,0.06857444283265199
Nashville State Community College,0.0683105440814692
Grossmont College,0.06826923076923076
CUNY Bronx Community College,0.06787758148793233
Minneapolis Community and Technical College,0.06787580385852089
Scottsdale Community College,0.06779589778076664
Reading Area Community College,0.06767036450079239
Eastern Florida State College,0.06654247792365975
Wytheville Community College,0.06651843616824163
Merritt College,0.06607332881880623
Phoenix College,0.06605389158773985
