county,CZ,cz_label
21121,233,"Richmond, KY"
21017,221,"Lexington, KY"
21205,223,"Mount Sterling, KY & Morehead, KY"
21051,233,"Richmond, KY"
21043,226,"Huntington, WV"
21123,230,"Elizabethtown, KY"
22103,240,"New Orleans, LA"
22009,242,"Alexandria, LA"
22073,243,"Monroe, LA"
22127,244,"Shreveport, LA"
22097,238,"Lafayette, LA"
22025,242,"Alexandria, LA"
22077,246,"Baton Rouge, LA"
22041,247,"Tallulah, LA"
24027,252,"Baltimore, MD"
27053,278,"Minneapolis, MN"
27013,282,"Mankato, MN"
27039,287,"Rochester, MN"
28029,299,"Jackson, MS"
28089,299,"Jackson, MS"
28081,297,"Tupelo, MS"
28051,299,"Jackson, MS"
28073,304,"Hattiesburg, MS"
29057,310,"Springfield, MO"
29205,322,"Moberly, MO"
30063,331,"Missoula, MT"
30043,326,"Bozeman, MT"
30099,325,"Great Falls, MT"
30049,326,"Bozeman, MT"
30087,341,"Colstrip, MT & Lame Deer, MT"
30027,332,"Lewistown, MT"
30045,332,"Lewistown, MT"
30023,331,"Missoula, MT"
31167,346,"Norfolk, NE"
31101,347,"North Platte, NE"
32011,363,"Elko, NV"
32015,363,"Elko, NV"
34027,369,"Newark, NJ & Jersey City, NJ"
35033,373,"Las Vegas, NM"
35011,374,"Clovis, NM"
36091,380,"Albany, NY"
37015,397,"Roanoke Rapids, NC"
37027,392,"Hickory, NC"
37111,392,"Hickory, NC"
37153,398,"Fayetteville, NC"
37123,398,"Fayetteville, NC"
37083,397,"Roanoke Rapids, NC"
37059,404,"Winston-Salem, NC"
37199,400,"Asheville, NC"
38005,410,"Counties: Benson Co., ND, Nelson Co., ND, Ramsey Co., ND"
38003,409,"Valley City, ND"
38059,412,"Bismarck, ND"
38037,412,"Bismarck, ND"
39147,431,"Findlay, OH"
39059,430,"Parkersburg, WV"
40073,437,"Oklahoma City, OK"
41005,449,"Portland, OR"
41047,449,"Portland, OR"
41031,452,"Bend, OR"
42031,385,"Erie, PA"
42061,468,"State College, PA"
45085,472,"Columbia, SC"
45031,474,"Myrtle Beach, SC"
45035,473,"Charleston, SC"
45015,473,"Charleston, SC"
45025,474,"Myrtle Beach, SC"
45075,472,"Columbia, SC"
45055,472,"Columbia, SC"
45059,470,"Greenville, SC"
45017,472,"Columbia, SC"
45009,472,"Columbia, SC"
46003,475,"Mitchell, SD & Huron, SD"
47045,495,"Dyersburg, TN"
47093,486,"Knoxville, TN"
47189,490,"Nashville, TN"
47143,118,"Chattanooga, TN"
47053,491,"Jackson, TN"
47085,490,"Nashville, TN"
47159,490,"Nashville, TN"
47049,494,"Crossville, TN"
47145,486,"Knoxville, TN"
47105,486,"Knoxville, TN"
47055,496,"Spring Hill, TN"
47119,496,"Spring Hill, TN"
47121,118,"Chattanooga, TN"
47135,496,"Spring Hill, TN"
47127,487,"Murfreesboro, TN"
48091,306,"San Antonio, TX"
48453,502,"Austin, TX"
48475,376,"Odessa, TX & Midland, TX"
48161,522,"Mexia, TX"
48073,497,"Tyler, TX"
48293,522,"Mexia, TX"
48499,497,"Tyler, TX"
48333,510,"Stephenville, TX & Brownwood, TX"
48317,376,"Odessa, TX & Midland, TX"
23025,248,"Portland, ME"
24033,91,"Washington, DC"
24015,90,"Philadelphia, PA"
1101,1,"Montgomery, AL"
1095,8,"Gadsden, AL"
25017,254,"Boston, MA"
25027,254,"Boston, MA"
26083,265,"Houghton, MI"
1109,1,"Montgomery, AL"
27167,279,"Fargo, ND"
27073,284,"Willmar, MN"
27089,294,"Grand Forks, ND"
28055,300,"Greenville, MS"
28021,245,"Vicksburg, MS"
29013,194,"Kansas City, MO"
29087,195,"St. Joseph, MO"
30081,331,"Missoula, MT"
31095,358,"Lincoln, NE"
32003,362,"Las Vegas, NV"
33007,367,"Lebanon, NH & Claremont, NH"
34033,368,"Trenton, NJ"
34021,368,"Trenton, NJ"
35055,378,"Taos, NM"
36013,385,"Erie, PA"
37019,399,"Wilmington, NC"
37113,123,"Waynesville, NC"
37013,396,"Washington, NC"
37139,401,"Virginia Beach, VA"
37173,123,"Waynesville, NC"
38099,290,"Grafton, ND"
39167,430,"Parkersburg, WV"
39061,225,"Cincinnati, OH"
40065,442,"Altus, OK"
40079,443,"McAlester, OK"
40135,50,"Fort Smith, AR"
41035,69,"Klamath Falls, OR & Altamont, OR"
42133,462,"Harrisburg, PA & Lancaster, PA"
42095,465,"Allentown, PA"
42127,469,"Scranton, PA"
45019,473,"Charleston, SC"
